design,count,point_id,observed_probability,residual_shape,concentration,reset_observed_probability,hazard,innovation_l2,surprise,gain,update_l2,information_gain,change_probability
coupled_novelty,4,29,0.05,0.9,2.0,0.95,0.15,1.281620068507044,2.995732273553991,0.3333333333333333,0.427206689502348,1.6491929980444475,0.7702702702702702
coupled_novelty,5,77,0.15,0.9,2.0,0.95,0.15,1.1467126928747235,1.8971199848858813,0.3333333333333333,0.3822375642915745,0.8051447609206146,0.5277777777777777
coupled_novelty,5,83,0.15,0.9,8.0,0.95,0.15,1.1467126928747235,1.8971199848858813,0.1111111111111111,0.12741252143052484,0.30077194367141624,0.5277777777777777
coupled_novelty,12,129,0.35,0.9,8.0,0.5,0.15,0.8768979416100827,1.0498221244986778,0.1111111111111111,0.09743310462334258,0.10687049253534275,0.20134228187919462
coupled_novelty,1,131,0.35,0.9,8.0,0.95,0.15,0.8768979416100827,1.0498221244986778,0.1111111111111111,0.09743310462334258,0.10687049253534275,0.32386363636363635
coupled_novelty,3,134,0.35,0.9,32.0,0.5,0.01,0.8768979416100827,1.0498221244986778,0.030303030303030304,0.02657266489727523,0.02843542878084193,0.014224751066856332
coupled_novelty,2,135,0.35,0.9,32.0,0.5,0.15,0.8768979416100827,1.0498221244986778,0.030303030303030304,0.02657266489727523,0.02843542878084193,0.20134228187919462
coupled_novelty,12,158,0.65,0.5,32.0,0.5,0.01,0.4286607049870561,0.4307829160924542,0.030303030303030304,0.012989718332941111,0.008302262397641869,0.007710100231303007
coupled_novelty,6,162,0.65,0.5,128.0,0.05,0.01,0.4286607049870561,0.4307829160924542,0.007751937984496124,0.0033229512014500266,0.0020964132981635686,0.0007763975155279505
coupled_novelty,1,182,0.65,0.9,32.0,0.5,0.01,0.4721758147131214,0.4307829160924542,0.030303030303030304,0.014308358021609735,0.008302262397641869,0.007710100231303007
coupled_novelty,9,210,0.9,0.5,128.0,0.05,0.01,0.12247448713915887,0.10536051565782628,0.007751937984496124,0.000949414628985708,0.00043283472005928303,0.0005608524957936063
uniform_factorial,1,0,0.05,0.5,2.0,0.05,0.01,1.1635076278220096,2.995732273553991,0.3333333333333333,0.3878358759406699,1.6491929980444475,0.01
uniform_factorial,1,2,0.05,0.5,2.0,0.5,0.01,1.1635076278220096,2.995732273553991,0.3333333333333333,0.3878358759406699,1.6491929980444475,0.09174311926605505
uniform_factorial,1,4,0.05,0.5,2.0,0.95,0.01,1.1635076278220096,2.995732273553991,0.3333333333333333,0.3878358759406699,1.6491929980444475,0.16101694915254236
uniform_factorial,1,5,0.05,0.5,2.0,0.95,0.15,1.1635076278220096,2.995732273553991,0.3333333333333333,0.3878358759406699,1.6491929980444475,0.7702702702702702
uniform_factorial,1,7,0.05,0.5,8.0,0.05,0.15,1.1635076278220096,2.995732273553991,0.1111111111111111,0.1292786253135566,0.793706251013266,0.15
uniform_factorial,1,10,0.05,0.5,8.0,0.95,0.01,1.1635076278220096,2.995732273553991,0.1111111111111111,0.1292786253135566,0.793706251013266,0.16101694915254236
uniform_factorial,1,12,0.05,0.5,32.0,0.05,0.01,1.1635076278220096,2.995732273553991,0.030303030303030304,0.03525780690369727,0.2655001957924723,0.01
uniform_factorial,1,14,0.05,0.5,32.0,0.5,0.01,1.1635076278220096,2.995732273553991,0.030303030303030304,0.03525780690369727,0.2655001957924723,0.09174311926605505
uniform_factorial,1,21,0.05,0.5,128.0,0.5,0.15,1.1635076278220096,2.995732273553991,0.007751937984496124,0.009019438975364405,0.07219424175040157,0.6382978723404256
uniform_factorial,1,28,0.05,0.9,2.0,0.95,0.01,1.281620068507044,2.995732273553991,0.3333333333333333,0.427206689502348,1.6491929980444475,0.16101694915254236
uniform_factorial,1,35,0.05,0.9,8.0,0.95,0.15,1.281620068507044,2.995732273553991,0.1111111111111111,0.142402229834116,0.7937062510132655,0.7702702702702702
uniform_factorial,1,41,0.05,0.9,32.0,0.95,0.15,1.281620068507044,2.995732273553991,0.030303030303030304,0.03883697177294071,0.2655001957924723,0.7702702702702702
uniform_factorial,1,46,0.05,0.9,128.0,0.95,0.01,1.281620068507044,2.995732273553991,0.007751937984496124,0.009935039290752292,0.07219424175045841,0.16101694915254236
uniform_factorial,1,49,0.15,0.5,2.0,0.05,0.15,1.0410331406828506,1.8971199848858813,0.3333333333333333,0.3470110468942835,0.8051447609206146,0.05555555555555555
uniform_factorial,1,54,0.15,0.5,8.0,0.05,0.01,1.0410331406828506,1.8971199848858813,0.1111111111111111,0.11567034896476121,0.3007719436714167,0.0033557046979865775
uniform_factorial,1,55,0.15,0.5,8.0,0.05,0.15,1.0410331406828506,1.8971199848858813,0.1111111111111111,0.11567034896476121,0.3007719436714167,0.05555555555555555
uniform_factorial,1,57,0.15,0.5,8.0,0.5,0.15,1.0410331406828506,1.8971199848858813,0.1111111111111111,0.11567034896476121,0.3007719436714167,0.37037037037037035
uniform_factorial,1,58,0.15,0.5,8.0,0.95,0.01,1.0410331406828506,1.8971199848858813,0.1111111111111111,0.11567034896476121,0.3007719436714167,0.060126582278481014
uniform_factorial,1,62,0.15,0.5,32.0,0.5,0.01,1.0410331406828506,1.8971199848858813,0.030303030303030304,0.03154645880857123,0.08502152841333821,0.03257328990228013
uniform_factorial,1,70,0.15,0.5,128.0,0.95,0.01,1.0410331406828506,1.8971199848858813,0.007751937984496124,0.008070024346378674,0.02191450800715744,0.060126582278481014
uniform_factorial,1,71,0.15,0.5,128.0,0.95,0.15,1.0410331406828506,1.8971199848858813,0.007751937984496124,0.008070024346378674,0.02191450800715744,0.5277777777777777
uniform_factorial,1,74,0.15,0.9,2.0,0.5,0.01,1.1467126928747235,1.8971199848858813,0.3333333333333333,0.3822375642915745,0.8051447609206146,0.03257328990228013
uniform_factorial,1,90,0.15,0.9,128.0,0.05,0.01,1.1467126928747235,1.8971199848858813,0.007751937984496124,0.008889245681199386,0.02191450800715744,0.0033557046979865775
uniform_factorial,1,103,0.35,0.5,8.0,0.05,0.15,0.796084166404533,1.0498221244986778,0.1111111111111111,0.08845379626717033,0.10687049253534298,0.02459016393442623
uniform_factorial,1,108,0.35,0.5,32.0,0.05,0.01,0.796084166404533,1.0498221244986778,0.030303030303030304,0.024123762618319177,0.028435428780849037,0.0014409221902017292
uniform_factorial,1,111,0.35,0.5,32.0,0.5,0.15,0.796084166404533,1.0498221244986778,0.030303030303030304,0.024123762618319177,0.028435428780849037,0.20134228187919462
uniform_factorial,1,115,0.35,0.5,128.0,0.05,0.15,0.796084166404533,1.0498221244986778,0.007751937984496124,0.006171195088407225,0.007218032071614644,0.02459016393442623
uniform_factorial,1,117,0.35,0.5,128.0,0.5,0.15,0.796084166404533,1.0498221244986778,0.007751937984496124,0.006171195088407225,0.007218032071614644,0.20134228187919462
