seed,heuristic_minimum_recovery,certified_minimum_recovery,minimum_recovery_delta_certified_minus_heuristic,heuristic_mean_recovery,certified_mean_recovery,mean_recovery_delta_certified_minus_heuristic
7,0.83,0.73,-0.09999999999999998,0.8949999999999999,0.8116666666666665,-0.08333333333333337
11,0.775,0.715,-0.06000000000000005,0.8841666666666667,0.8025000000000001,-0.08166666666666655
19,0.75,0.665,-0.08499999999999996,0.87,0.7916666666666666,-0.07833333333333337
23,0.795,0.74,-0.05500000000000005,0.8716666666666666,0.8025000000000001,-0.06916666666666649
31,0.785,0.71,-0.07500000000000007,0.8749999999999999,0.805,-0.06999999999999984
