candidate,alpha,calibration_replicates,upper_conformal_rank_one_based,pure_over_null_familywise,winner_over_runner_familywise,pairwise_composite_over_pure_familywise,residual_ratio_candidate_specific,candidate_enabled_from_audit
innovation_l2,0.05,200,191,3.4208193855608755,2.5286033861336534,2.5100567987347375,1.388053910062808,True
surprise,0.05,200,191,3.4208193855608755,2.5286033861336534,3.02308827824136,1.3696735645372042,True
gain,0.05,200,191,3.4208193855608755,2.5286033861336534,2.3614359361155977,1.3828665623933518,True
update_l2,0.05,200,191,3.4208193855608755,2.5286033861336534,1.8596029313160045,1.3459343250817886,True
information_gain,0.05,200,191,3.4208193855608755,2.5286033861336534,3.728345840374672,1.4137673381357303,True
change_probability,0.05,200,191,3.4208193855608755,2.5286033861336534,2.5054124365266546,1.3589679383289155,True
