iteration,status,message,cut_count,master_incumbent,master_upper_bound,global_upper_bound,candidate_lower_bound,best_lower_bound,absolute_gap,relative_gap,violated_pair_count,new_cut_count
1,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),36,0.3003019448952873,0.3003019448952873,0.3003019448952873,1.8899792520920073e-32,0.25003654826964467,0.05026539662564261,0.05026539662564261,6,6
2,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),40,0.2746209089988777,0.2746209089988777,0.2746209089988777,0.1998940141548362,0.25003654826964467,0.024584360729233035,0.024584360729233035,4,4
3,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),43,0.2625384062229467,0.2625384062229467,0.2625384062229467,0.1845235932375922,0.25003654826964467,0.012501857953302054,0.012501857953302054,3,3
4,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),45,0.2556738948533919,0.2556738948533919,0.2556738948533919,0.25286766545125633,0.25286766545125633,0.002806229402135596,0.002806229402135596,2,2
5,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),52,0.2528676654512564,0.2528676654512564,0.2528676654512564,0.166514444222626,0.25286766545125633,5.551115123125783e-17,5.551115123125783e-17,7,7
